Job_ID,Job_Title,Company,Location,Job_Type,Experience,Salary,Industry,Skills,Posting_Date,Applications
41,Business Analyst,Google,Chennai,Full-time,1-3 Years,2422472,Finance,"NumPy, Excel",2025-01-03,944
42,Data Engineer,Wipro,Delhi,Contract,3-5 Years,2106287,Healthcare,"NumPy, Pandas, Power BI, Machine Learning, Excel",2025-03-04,465
43,Python Developer,Amazon,Gurugram,Contract,5+ Years,1253469,Analytics,"SQL, Tableau, Excel, Power BI, Statistics",2025-05-13,332
44,Business Analyst,Wipro,Pune,Full-time,5+ Years,890911,E-commerce,"SQL, Statistics, NumPy",2025-10-04,343
45,Data Engineer,Tech Mahindra,Bengaluru,Full-time,5+ Years,1883584,Healthcare,"Azure, Statistics",2025-10-05,493
46,ML Engineer,HCL,Chennai,Internship,1-3 Years,2297782,Consulting,"Statistics, Pandas, Python, Excel",2025-01-04,349
47,SQL Developer,Microsoft,Pune,Internship,1-3 Years,2490276,IT Services,"Azure, Python, SQL, Machine Learning, Excel",2025-12-09,143
48,Data Scientist,TCS,Gurugram,Internship,3-5 Years,1137767,Finance,"Machine Learning, Statistics, Tableau, NumPy",2025-08-25,979
49,BI Developer,Amazon,Hyderabad,Internship,Fresher,468462,Analytics,"SQL, Python, NumPy",2025-08-04,977
50,Python Developer,Amazon,Bengaluru,Contract,1-3 Years,1250530,Consulting,"SQL, Excel, Pandas, Machine Learning, Power BI",2025-05-07,790
51,Data Scientist,IBM,Ahmedabad,Contract,Fresher,936883,Analytics,"Azure, Python",2025-07-08,956
52,SQL Developer,Tech Mahindra,Noida,Full-time,1-3 Years,677405,E-commerce,"Azure, SQL, Python, Power BI",2025-06-09,550
53,ML Engineer,Infosys,Kolkata,Contract,3-5 Years,303066,Finance,"SQL, Statistics, Machine Learning, Pandas, Excel",2025-08-08,729
54,SQL Developer,Wipro,Kolkata,Contract,3-5 Years,2277935,Finance,"Azure, Tableau, Machine Learning, Statistics, SQL",2025-03-20,855
55,BI Developer,Flipkart,Delhi,Full-time,5+ Years,1839596,Analytics,"Pandas, Machine Learning",2025-02-14,191
56,Python Developer,Capgemini,Gurugram,Internship,3-5 Years,1408754,Healthcare,"NumPy, Excel",2025-09-07,92
57,SQL Developer,Deloitte,Kolkata,Full-time,5+ Years,2308653,Finance,"SQL, Tableau",2025-05-04,231
58,Python Developer,HCL,Ahmedabad,Internship,5+ Years,2476847,Analytics,"NumPy, Machine Learning, Azure, Pandas, Excel",2025-07-27,282
59,BI Developer,Accenture,Hyderabad,Contract,1-3 Years,1573504,IT Services,"Excel, Azure, Pandas",2025-06-06,288
60,BI Developer,Infosys,Noida,Internship,1-3 Years,1763644,Consulting,"Python, NumPy, Power BI, Pandas",2025-10-29,51
61,BI Developer,Microsoft,Pune,Contract,5+ Years,680283,IT Services,"Pandas, Azure, NumPy, Power BI",2025-01-28,193
62,BI Developer,Amazon,Delhi,Full-time,Fresher,1930688,Finance,"Azure, Python",2025-01-27,160
63,BI Developer,Infosys,Noida,Full-time,5+ Years,1196600,Healthcare,"Pandas, Azure, Tableau, Statistics, NumPy",2025-03-18,444
64,Data Analyst,IBM,Hyderabad,Full-time,1-3 Years,1360006,E-commerce,"Power BI, Excel",2025-06-06,182
65,Business Analyst,Wipro,Bengaluru,Internship,5+ Years,2220955,Analytics,"Excel, Tableau",2025-10-10,728
66,Data Engineer,Infosys,Noida,Internship,1-3 Years,2033162,IT Services,"Power BI, Tableau, Azure",2025-05-25,78
67,Data Scientist,Google,Gurugram,Contract,3-5 Years,2091943,IT Services,"Tableau, Statistics, Azure, Pandas, NumPy",2025-01-31,510
68,Business Analyst,IBM,Bengaluru,Internship,3-5 Years,1300119,IT Services,"Excel, Python",2025-08-13,788
69,BI Developer,IBM,Bengaluru,Full-time,5+ Years,2426692,E-commerce,"Tableau, Power BI, Statistics, Machine Learning, Excel",2025-12-11,997
70,Data Engineer,Capgemini,Chennai,Internship,3-5 Years,688723,Consulting,"Statistics, Pandas, Tableau, Machine Learning",2025-02-16,972
71,Data Analyst,Deloitte,Hyderabad,Internship,3-5 Years,1605908,IT Services,"NumPy, Python, Pandas, Excel, Azure",2025-07-25,197
72,ML Engineer,IBM,Delhi,Contract,5+ Years,466475,Consulting,"NumPy, Power BI, Tableau, Excel",2025-09-23,906
73,Data Engineer,Infosys,Bengaluru,Contract,1-3 Years,914286,Analytics,"NumPy, Statistics",2025-12-24,100
74,Business Analyst,Deloitte,Hyderabad,Contract,1-3 Years,2340338,E-commerce,"NumPy, Tableau, Statistics, Pandas",2025-04-26,499
75,Python Developer,Deloitte,Kolkata,Full-time,5+ Years,1049477,Healthcare,"SQL, Tableau, Statistics",2025-08-30,353
76,BI Developer,Amazon,Bengaluru,Internship,3-5 Years,2303700,Consulting,"NumPy, Pandas, Machine Learning, Power BI, Tableau",2025-09-17,786
77,SQL Developer,Deloitte,Mumbai,Full-time,1-3 Years,1856296,Consulting,"Python, Machine Learning, Pandas, NumPy, Excel",2025-10-06,400
78,Data Scientist,Deloitte,Bengaluru,Full-time,3-5 Years,670959,Finance,"NumPy, Pandas",2025-12-06,20
79,SQL Developer,Amazon,Pune,Full-time,5+ Years,1361586,Analytics,"SQL, Machine Learning, Statistics, Power BI, NumPy",2025-03-15,740
80,Data Analyst,IBM,Hyderabad,Full-time,3-5 Years,1204146,E-commerce,"Statistics, SQL",2025-09-07,783
81,Business Analyst,Deloitte,Pune,Contract,3-5 Years,371413,IT Services,"Python, Tableau, Machine Learning, Power BI",2025-11-21,446
82,Python Developer,Cognizant,Chennai,Contract,1-3 Years,962963,Consulting,"Azure, Statistics",2025-03-16,639
83,Python Developer,Deloitte,Ahmedabad,Full-time,1-3 Years,2184202,E-commerce,"Pandas, Tableau, Python, Statistics",2025-12-16,481
84,Data Scientist,Infosys,Delhi,Internship,3-5 Years,2029680,E-commerce,"Pandas, Tableau, Excel, Azure",2025-05-28,878
85,Business Analyst,Accenture,Chennai,Contract,3-5 Years,1490978,E-commerce,"Python, Statistics, Tableau, Azure",2025-09-05,584
86,Data Analyst,Flipkart,Ahmedabad,Contract,5+ Years,1450385,Consulting,"Excel, Azure, Tableau, Machine Learning",2025-12-18,778
87,Data Scientist,Oracle,Hyderabad,Contract,Fresher,1545758,Finance,"Azure, Machine Learning",2025-12-04,754
88,Business Analyst,Flipkart,Gurugram,Internship,5+ Years,986687,Consulting,"NumPy, Machine Learning, Tableau",2025-03-09,855
89,BI Developer,Flipkart,Delhi,Internship,3-5 Years,733056,Finance,"Power BI, Excel",2025-03-26,885
90,SQL Developer,Amazon,Kolkata,Internship,Fresher,1904965,IT Services,"NumPy, SQL, Pandas, Power BI",2025-12-13,693
91,BI Developer,IBM,Chennai,Contract,3-5 Years,704436,E-commerce,"Pandas, Python, Machine Learning",2025-12-11,942
92,Python Developer,Oracle,Hyderabad,Contract,5+ Years,1517477,E-commerce,"SQL, Power BI, Python, Pandas, NumPy",2025-11-09,509
93,Business Analyst,Accenture,Kolkata,Full-time,5+ Years,2152719,Analytics,"Azure, Power BI, Statistics, Machine Learning, Python",2025-03-01,858
94,SQL Developer,HCL,Bengaluru,Contract,3-5 Years,1161295,Finance,"Excel, Machine Learning, SQL, NumPy, Power BI",2025-09-08,562
95,ML Engineer,TCS,Chennai,Internship,1-3 Years,762374,Finance,"Excel, Python",2025-11-27,56
96,Python Developer,Wipro,Ahmedabad,Full-time,Fresher,1118880,Healthcare,"Excel, Machine Learning, Power BI",2025-06-20,812
97,Data Analyst,HCL,Pune,Full-time,3-5 Years,981893,IT Services,"Power BI, Python",2025-11-02,371
98,ML Engineer,TCS,Pune,Internship,Fresher,781663,E-commerce,"NumPy, SQL, Azure, Excel, Statistics",2025-05-02,801
99,Business Analyst,Deloitte,Kolkata,Full-time,Fresher,2437124,Analytics,"Python, Azure, Pandas, Statistics, Excel",2025-07-05,441
100,Business Analyst,Deloitte,Delhi,Full-time,Fresher,1601034,Healthcare,"SQL, Power BI, Tableau",2025-12-18,644
101,ML Engineer,Tech Mahindra,Ahmedabad,Contract,3-5 Years,2153020,Healthcare,"SQL, Azure, Excel, Pandas, Statistics",2025-11-21,914
102,SQL Developer,Capgemini,Delhi,Internship,5+ Years,648818,Analytics,"Machine Learning, Tableau, Azure, SQL, Pandas",2025-04-27,950
103,Business Analyst,Infosys,Hyderabad,Full-time,5+ Years,655020,E-commerce,"Power BI, NumPy, Python, Tableau",2025-08-31,984
104,ML Engineer,Oracle,Hyderabad,Internship,3-5 Years,2023925,E-commerce,"Tableau, Azure",2025-10-15,365
105,Python Developer,Wipro,Delhi,Full-time,Fresher,1718484,Healthcare,"SQL, Tableau, Excel, Statistics",2025-02-23,444
106,Data Analyst,IBM,Gurugram,Full-time,1-3 Years,1396179,E-commerce,"Machine Learning, Azure, Python, SQL",2025-10-15,895
107,SQL Developer,Infosys,Pune,Contract,Fresher,634859,E-commerce,"Statistics, Azure, Pandas",2025-03-15,354
108,ML Engineer,HCL,Mumbai,Contract,Fresher,470657,Consulting,"Azure, Python, SQL",2025-03-22,283
109,SQL Developer,Deloitte,Ahmedabad,Internship,5+ Years,1395744,Consulting,"Machine Learning, Statistics",2025-08-15,118
110,Data Engineer,Cognizant,Gurugram,Full-time,1-3 Years,1907854,Healthcare,"Python, Excel",2025-05-26,313
111,Data Scientist,Google,Gurugram,Internship,3-5 Years,753250,IT Services,"Statistics, Power BI, NumPy, Excel, Tableau",2025-04-19,725
112,ML Engineer,Infosys,Chennai,Contract,Fresher,2079637,IT Services,"SQL, Machine Learning, Statistics, Tableau, Excel",2025-04-28,731
113,SQL Developer,HCL,Hyderabad,Internship,Fresher,1612176,Consulting,"Machine Learning, SQL, Statistics, Pandas, Python",2025-11-24,254
114,SQL Developer,Cognizant,Hyderabad,Internship,3-5 Years,1674021,Consulting,"Power BI, SQL, NumPy, Tableau",2025-08-12,527
115,ML Engineer,Capgemini,Pune,Full-time,Fresher,864231,Analytics,"Power BI, Azure, SQL",2025-04-10,186
116,Data Engineer,Deloitte,Ahmedabad,Contract,5+ Years,1605633,E-commerce,"Power BI, Pandas, SQL, Excel",2025-11-18,457
117,BI Developer,Google,Gurugram,Contract,Fresher,1726152,Healthcare,"Tableau, Pandas",2025-11-20,467
118,Data Analyst,Capgemini,Gurugram,Full-time,Fresher,2376796,Finance,"Azure, NumPy, Python, Excel, Tableau",2025-01-20,672
119,ML Engineer,IBM,Delhi,Contract,1-3 Years,509517,Finance,"Machine Learning, SQL",2025-04-07,521
120,Data Scientist,TCS,Noida,Contract,5+ Years,2093068,Healthcare,"Machine Learning, Azure, Tableau",2025-11-27,401
121,ML Engineer,Oracle,Ahmedabad,Full-time,3-5 Years,526454,Analytics,"NumPy, Statistics",2025-07-29,295
122,Data Scientist,Capgemini,Hyderabad,Contract,1-3 Years,1717254,Analytics,"Power BI, SQL, Tableau, Pandas, Excel",2025-05-10,663
123,Data Scientist,Oracle,Kolkata,Full-time,5+ Years,2382755,Analytics,"Machine Learning, Tableau",2025-06-18,189
124,ML Engineer,Google,Delhi,Full-time,1-3 Years,826990,Consulting,"Tableau, SQL",2025-04-20,524
125,Data Analyst,Oracle,Mumbai,Contract,1-3 Years,1830077,Consulting,"Power BI, Azure, Pandas",2025-10-04,49
126,ML Engineer,Oracle,Noida,Internship,3-5 Years,2132940,Consulting,"Tableau, Pandas, Excel",2025-07-30,381
127,Data Engineer,Deloitte,Gurugram,Internship,5+ Years,929721,Consulting,"Tableau, Python, Pandas",2025-12-14,900
128,Business Analyst,Microsoft,Kolkata,Full-time,3-5 Years,601797,Consulting,"Pandas, NumPy, Power BI, Statistics",2025-07-10,452
129,Python Developer,Amazon,Delhi,Internship,Fresher,1990203,IT Services,"NumPy, Machine Learning, Excel, Pandas, Python",2025-02-16,388
130,Data Analyst,Capgemini,Hyderabad,Contract,3-5 Years,862575,Consulting,"Tableau, Pandas",2025-04-25,717
131,Data Engineer,Deloitte,Ahmedabad,Full-time,Fresher,329708,Analytics,"Power BI, NumPy, Statistics",2025-03-13,118
132,Python Developer,HCL,Hyderabad,Full-time,1-3 Years,2010875,E-commerce,"SQL, Azure, Pandas, Tableau, Statistics",2025-05-28,21
133,Python Developer,Microsoft,Pune,Internship,5+ Years,256561,Healthcare,"Excel, Statistics, Power BI, Machine Learning",2025-11-20,689
134,ML Engineer,Infosys,Kolkata,Contract,Fresher,1887681,Finance,"Statistics, Machine Learning",2025-02-13,264
135,ML Engineer,Google,Hyderabad,Internship,1-3 Years,684797,Healthcare,"Power BI, Python, Machine Learning, Tableau",2025-01-09,351
136,Data Scientist,Amazon,Delhi,Contract,5+ Years,1014529,Consulting,"Pandas, Python",2025-11-26,305
137,Data Analyst,Google,Noida,Full-time,3-5 Years,1550552,Healthcare,"NumPy, Pandas, Tableau, Python, Machine Learning",2025-04-14,200
138,ML Engineer,Amazon,Bengaluru,Contract,3-5 Years,1395953,IT Services,"Statistics, Azure, Pandas, Excel",2025-05-27,352
139,Data Engineer,Microsoft,Delhi,Internship,3-5 Years,596497,E-commerce,"SQL, Statistics, Power BI, Tableau, Pandas",2025-04-06,333
140,Business Analyst,Capgemini,Gurugram,Internship,5+ Years,2037260,Consulting,"Machine Learning, Pandas, Python, Azure, Power BI",2025-02-22,634
141,BI Developer,Oracle,Bengaluru,Full-time,5+ Years,1773837,Healthcare,"Python, Power BI, Pandas",2025-08-11,40
142,Business Analyst,Accenture,Mumbai,Internship,5+ Years,385833,Healthcare,"Pandas, Machine Learning, NumPy",2025-03-06,459
143,Data Scientist,Cognizant,Mumbai,Internship,3-5 Years,1418909,Consulting,"Python, Power BI",2025-02-09,516
144,SQL Developer,Flipkart,Kolkata,Full-time,3-5 Years,1341734,E-commerce,"Excel, Tableau, Pandas, SQL, Python",2025-09-23,143
145,Data Engineer,Wipro,Delhi,Full-time,3-5 Years,1707207,E-commerce,"NumPy, Azure",2025-02-07,302
146,Data Scientist,Microsoft,Pune,Internship,1-3 Years,759031,Consulting,"Excel, Pandas, Python",2025-06-03,374
147,ML Engineer,Deloitte,Kolkata,Full-time,Fresher,525767,Analytics,"Pandas, NumPy, Statistics, Azure, Excel",2025-10-11,848
148,Business Analyst,Wipro,Mumbai,Contract,Fresher,2137329,Finance,"Power BI, NumPy, Azure, Statistics",2025-10-22,994
149,SQL Developer,Cognizant,Bengaluru,Full-time,1-3 Years,1525590,Consulting,"Machine Learning, Excel, Azure",2025-03-08,975
150,BI Developer,Amazon,Hyderabad,Internship,1-3 Years,1401131,Consulting,"Azure, NumPy, SQL, Tableau",2025-09-23,661
151,Data Scientist,Wipro,Ahmedabad,Contract,3-5 Years,422781,IT Services,"Python, Tableau",2025-03-28,671
152,SQL Developer,IBM,Bengaluru,Internship,3-5 Years,1517074,Finance,"Statistics, Tableau, Pandas",2025-04-18,79
153,Data Analyst,Wipro,Delhi,Internship,5+ Years,2198011,Consulting,"Azure, Power BI, Machine Learning, Statistics",2025-12-19,740
154,ML Engineer,Tech Mahindra,Pune,Internship,Fresher,1588469,Consulting,"SQL, Tableau, Pandas, Azure, Statistics",2025-06-13,104
155,BI Developer,Tech Mahindra,Ahmedabad,Internship,1-3 Years,919828,Analytics,"Excel, Power BI, Pandas, Tableau",2025-01-26,483
156,BI Developer,Deloitte,Bengaluru,Full-time,5+ Years,2369987,Finance,"Excel, Machine Learning, Python",2025-09-13,56
157,Data Engineer,IBM,Delhi,Internship,Fresher,700875,Finance,"Tableau, Machine Learning, Statistics",2025-05-25,379
158,SQL Developer,TCS,Ahmedabad,Contract,1-3 Years,1770534,Healthcare,"SQL, Statistics, Pandas, NumPy",2025-01-24,568
159,Business Analyst,Wipro,Hyderabad,Internship,3-5 Years,1672226,Healthcare,"Power BI, Excel, Statistics, Tableau",2025-05-24,46
160,Data Analyst,Wipro,Mumbai,Internship,5+ Years,874702,Healthcare,"Machine Learning, Azure, Power BI",2025-01-24,407
161,BI Developer,IBM,Mumbai,Contract,5+ Years,1507412,Finance,"Machine Learning, Azure",2025-11-12,694
162,SQL Developer,IBM,Gurugram,Contract,Fresher,2240575,Analytics,"Python, Pandas, Power BI",2025-02-26,541
163,SQL Developer,Wipro,Noida,Full-time,Fresher,1050207,IT Services,"Machine Learning, Statistics, Power BI, Excel, Azure",2025-11-19,213
164,Data Engineer,Amazon,Bengaluru,Contract,1-3 Years,2425515,Consulting,"Pandas, NumPy, Statistics, Power BI",2025-07-30,984
165,Data Engineer,Flipkart,Kolkata,Internship,3-5 Years,1358815,Healthcare,"Excel, Azure, Tableau, Pandas, Power BI",2025-03-30,235
166,BI Developer,Microsoft,Noida,Contract,5+ Years,1579765,Finance,"NumPy, Tableau, Azure, Python",2025-06-02,592
167,SQL Developer,Flipkart,Chennai,Internship,1-3 Years,1468246,IT Services,"SQL, Machine Learning, Pandas, NumPy",2025-12-13,267
168,Python Developer,Accenture,Kolkata,Internship,3-5 Years,825764,IT Services,"Excel, Python, Azure",2025-09-03,658
169,Data Analyst,Infosys,Chennai,Internship,5+ Years,671715,E-commerce,"Python, NumPy, Power BI",2025-04-30,421
170,Data Engineer,Deloitte,Noida,Internship,3-5 Years,1447118,E-commerce,"SQL, Excel",2025-12-01,552
171,Data Scientist,Tech Mahindra,Pune,Full-time,5+ Years,2327790,Consulting,"Python, Azure, Tableau, Pandas",2025-01-20,622
172,ML Engineer,HCL,Delhi,Contract,5+ Years,812875,Healthcare,"Tableau, Excel, SQL, Power BI, Pandas",2025-02-24,753
173,BI Developer,Microsoft,Pune,Full-time,3-5 Years,1487421,Healthcare,"Power BI, Statistics, NumPy",2025-08-23,532
174,Business Analyst,Tech Mahindra,Hyderabad,Full-time,1-3 Years,2252587,Analytics,"Python, Tableau, Statistics",2025-06-17,246
175,BI Developer,Capgemini,Gurugram,Contract,Fresher,1347033,E-commerce,"Excel, Python, SQL, Azure",2025-08-17,319
176,SQL Developer,Oracle,Kolkata,Contract,3-5 Years,742477,E-commerce,"Machine Learning, Excel, NumPy, SQL",2025-03-23,494
177,Data Engineer,Microsoft,Ahmedabad,Internship,5+ Years,2224796,Healthcare,"Excel, SQL, Pandas",2025-03-20,545
178,ML Engineer,Infosys,Ahmedabad,Full-time,Fresher,2370166,Consulting,"Power BI, Machine Learning, Pandas",2025-12-27,124
179,Python Developer,Microsoft,Ahmedabad,Internship,Fresher,2390669,Finance,"Pandas, Power BI",2025-12-15,530
180,Data Engineer,IBM,Bengaluru,Contract,5+ Years,1542556,E-commerce,"Statistics, Tableau",2025-08-01,841
181,Python Developer,IBM,Hyderabad,Full-time,5+ Years,1695058,E-commerce,"NumPy, Python",2025-01-02,962
182,Data Engineer,TCS,Gurugram,Internship,1-3 Years,818029,E-commerce,"Machine Learning, Statistics, Pandas, NumPy, Excel",2025-02-05,389
183,Data Scientist,Oracle,Mumbai,Full-time,1-3 Years,1898607,Healthcare,"Excel, Python, NumPy",2025-02-11,310
184,SQL Developer,Cognizant,Chennai,Full-time,1-3 Years,2182002,Analytics,"Tableau, Excel, SQL",2025-08-26,37
185,SQL Developer,IBM,Bengaluru,Full-time,1-3 Years,532238,IT Services,"Pandas, Python",2025-12-05,255
186,SQL Developer,Deloitte,Noida,Contract,1-3 Years,486743,Consulting,"Excel, Machine Learning, NumPy, SQL",2025-01-23,314
187,Python Developer,Tech Mahindra,Gurugram,Internship,Fresher,984561,E-commerce,"NumPy, Pandas, Python, Power BI, Machine Learning",2025-03-15,692
188,ML Engineer,Microsoft,Chennai,Internship,1-3 Years,1507823,Finance,"NumPy, Pandas, Excel",2025-07-15,874
189,BI Developer,Amazon,Pune,Internship,Fresher,1980894,Finance,"Statistics, Excel, Tableau",2025-04-26,213
190,Business Analyst,Flipkart,Delhi,Internship,Fresher,2496618,E-commerce,"Python, Tableau, Statistics",2025-06-19,694
191,Data Analyst,Amazon,Hyderabad,Full-time,1-3 Years,2260725,Consulting,"Tableau, Python, Excel, SQL",2025-11-06,990
192,Data Engineer,Flipkart,Noida,Contract,1-3 Years,1913595,Consulting,"Tableau, Statistics, Pandas, Azure",2025-03-02,669
193,BI Developer,HCL,Mumbai,Contract,5+ Years,2204562,IT Services,"Machine Learning, Excel, Azure, Power BI, NumPy",2025-07-03,51
194,Python Developer,Microsoft,Pune,Full-time,3-5 Years,2001449,Analytics,"Excel, Machine Learning, Azure",2025-10-16,393
195,Python Developer,Deloitte,Kolkata,Contract,3-5 Years,1329306,Finance,"Pandas, Power BI, Machine Learning, SQL, Statistics",2025-10-19,742
196,Data Engineer,Wipro,Kolkata,Contract,Fresher,2447582,IT Services,"Python, Azure",2025-10-07,427
197,Python Developer,Infosys,Pune,Full-time,1-3 Years,2371197,Finance,"Python, Pandas, NumPy, Azure",2025-03-12,11
198,SQL Developer,TCS,Bengaluru,Contract,3-5 Years,2497048,Analytics,"NumPy, Statistics",2025-09-30,830
199,Business Analyst,Flipkart,Hyderabad,Contract,1-3 Years,1260696,Consulting,"Machine Learning, Tableau, Statistics, Python",2025-04-02,387
200,Data Engineer,IBM,Noida,Contract,1-3 Years,1508184,E-commerce,"Python, SQL",2025-07-27,420
201,SQL Developer,Cognizant,Delhi,Full-time,Fresher,968834,IT Services,"Statistics, Machine Learning, SQL, Tableau, Python",2025-07-14,240
202,Data Engineer,HCL,Bengaluru,Full-time,3-5 Years,388000,Consulting,"Python, Excel, Power BI, Statistics",2025-04-19,845
203,SQL Developer,Flipkart,Hyderabad,Internship,1-3 Years,1258613,Healthcare,"NumPy, Machine Learning, Statistics, Pandas, Azure",2025-12-31,148
204,Business Analyst,Cognizant,Mumbai,Full-time,Fresher,2083281,Consulting,"Machine Learning, Statistics",2025-12-19,997
205,Data Analyst,Oracle,Gurugram,Internship,5+ Years,1206881,Analytics,"Statistics, Power BI, Azure, Python, Tableau",2025-06-17,307
206,Business Analyst,Infosys,Gurugram,Full-time,5+ Years,897084,E-commerce,"Machine Learning, Azure, SQL, Python, Statistics",2025-05-07,970
207,Data Engineer,Capgemini,Gurugram,Full-time,1-3 Years,616151,Consulting,"Pandas, NumPy, Statistics, Python, Azure",2025-06-07,96
208,Business Analyst,IBM,Ahmedabad,Internship,5+ Years,301760,Analytics,"Statistics, SQL, Excel, Tableau, Azure",2025-07-01,178
209,SQL Developer,Wipro,Pune,Internship,3-5 Years,1375779,Finance,"SQL, Power BI, Statistics",2025-12-17,287
210,BI Developer,Deloitte,Hyderabad,Internship,3-5 Years,1284273,E-commerce,"Azure, Excel, Pandas, Python, SQL",2025-08-04,316
